t,feature_0,feature_1,feature_2,feature_3,feature_4,event_indicator,time_to_event
0,0.004,0.0,0.996,24.892,2.0,1,16
1,0.01,0.0,0.99,24.892,2.0,1,15
2,0.014,0.0,0.986,24.892,2.0,1,14
3,0.014,0.0,0.986,24.892,2.0,1,13
4,0.016,0.0,0.984,24.892,2.0,1,12
5,0.024,0.0,0.976,24.892,1.0,1,11
6,0.04,0.0,0.96,24.892,1.0,1,10
7,0.052,0.002,0.946,24.892,2.0,1,9
8,0.078,0.002,0.92,24.892,1.0,1,8
9,0.112,0.002,0.886,24.892,1.0,1,7
10,0.176,0.002,0.822,24.892,1.0,1,6
11,0.252,0.004,0.744,24.892,1.0,1,5
12,0.338,0.004,0.658,24.892,1.0,1,4
13,0.432,0.008,0.56,24.892,1.0,1,3
14,0.51,0.008,0.482,24.892,1.0,1,2
15,0.594,0.014,0.392,24.892,1.0,1,1
16,0.672,0.014,0.314,24.892,1.0,1,0
