t,feature_0,feature_1,feature_2,feature_3,event_indicator,time_to_event
0,3.6136363,100.0,0.0,10000.0,1,44
1,3.642857,97.5,0.0,9750.0,1,43
2,3.6091955,95.0,0.0,9500.0,1,42
3,3.6111112,92.5,0.0,9250.0,1,41
4,3.6162791,90.0,0.0,9000.0,1,40
5,3.5952382,87.5,0.0,8750.0,1,39
6,3.6162791,85.0,0.0,8500.0,1,38
7,3.6067417,82.5,0.0,8250.0,1,37
8,3.6043956,80.0,0.0,8000.0,1,36
9,3.6136363,77.5,0.0,7750.0,1,35
10,3.6136363,75.0,0.0,7500.0,1,34
11,3.6144578,72.5,0.0,7250.0,1,33
12,3.6516855,70.0,0.0,7000.0,1,32
13,3.655914,67.5,0.0,6750.0,1,31
14,3.6444445,65.0,0.0,6500.0,1,30
15,3.6333334,62.5,0.0,6250.0,1,29
16,3.6222222,60.0,0.0,6000.0,1,28
17,3.6555555,57.52,0.03,5752.0,1,27
18,3.639535,55.19,0.055,5519.0,1,26
19,3.6470587,52.87,0.07,5287.0,1,25
20,3.6385543,50.865,0.16,5086.5,1,24
21,3.628205,48.86,0.165,4886.0,1,23
22,3.6341465,46.845,0.155,4684.5,1,22
23,3.6705883,44.9,0.2,4490.0,1,21
24,3.642857,42.995,0.21,4299.5,1,20
25,3.6436782,41.14,0.225,4114.0,1,19
26,3.6333334,39.295,0.245,3929.5,1,18
27,3.6404495,37.48,0.24,3748.0,1,17
28,3.6551723,35.805,0.285,3580.5,1,16
29,3.6777778,34.07,0.28,3407.0,1,15
30,3.7058823,32.485,0.365,3248.5,1,14
31,3.7108433,31.15,0.42,3115.0,1,13
32,3.6511629,29.855,0.43,2985.5,1,12
33,3.6341465,28.67,0.46,2867.0,1,11
34,3.6588235,27.335,0.42,2733.5,1,10
35,3.6588235,26.185,0.465,2618.5,1,9
36,3.6790123,24.965,0.48,2496.5,1,8
37,3.639535,23.925,0.53,2392.5,1,7
38,3.627907,22.895,0.53,2289.5,1,6
39,3.6,21.845,0.505,2184.5,1,5
40,3.607143,20.895,0.555,2089.5,1,4
41,3.5813954,19.965,0.56,1996.5,1,3
42,3.6067417,18.94,0.545,1894.0,1,2
43,3.6111112,17.98,0.575,1798.0,1,1
44,3.6222222,17.13,0.645,1713.0,1,0
