t,feature_0,feature_1,feature_2,feature_3,event_indicator,time_to_event
0,3.5777779,100.0,0.0,10000.0,1,40
1,3.621951,97.5,0.0,9750.0,1,39
2,3.6117647,95.0,0.0,9500.0,1,38
3,3.5666666,92.5,0.0,9250.0,1,37
4,3.5824175,90.0,0.0,9000.0,1,36
5,3.6043956,87.5,0.0,8750.0,1,35
6,3.625,85.0,0.0,8500.0,1,34
7,3.6206896,82.5,0.0,8250.0,1,33
8,3.5934067,80.0,0.0,8000.0,1,32
9,3.6593406,77.5,0.0,7750.0,1,31
10,3.652174,75.0,0.0,7500.0,1,30
11,3.6790123,72.53,0.025,7253.0,1,29
12,3.6551723,70.095,0.02,7009.5,1,28
13,3.6136363,67.68,0.025,6768.0,1,27
14,3.6444445,65.245,0.02,6524.5,1,26
15,3.6551723,62.77,0.01,6277.0,1,25
16,3.6436782,60.37,0.045,6037.0,1,24
17,3.6222222,58.04,0.055,5804.0,1,23
18,3.6666667,55.68,0.065,5568.0,1,22
19,3.6627908,53.41,0.085,5341.0,1,21
20,3.639535,51.155,0.08,5115.5,1,20
21,3.6206896,48.88,0.09,4888.0,1,19
22,3.65,46.62,0.105,4662.0,1,18
23,3.6117647,44.42,0.13,4442.0,1,17
24,3.609756,42.375,0.16,4237.5,1,16
25,3.609756,40.335,0.23,4033.5,1,15
26,3.6046512,38.4,0.22,3840.0,1,14
27,3.6363637,36.66,0.325,3666.0,1,13
28,3.6162791,35.265,0.39,3526.5,1,12
29,3.6190476,33.94,0.43,3394.0,1,11
30,3.6263735,32.62,0.435,3262.0,1,10
31,3.6511629,31.36,0.45,3136.0,1,9
32,3.621951,30.345,0.5,3034.5,1,8
33,3.658228,29.25,0.48,2925.0,1,7
34,3.6309524,28.12,0.485,2812.0,1,6
35,3.6363637,27.11,0.53,2711.0,1,5
36,3.6626506,26.25,0.58,2625.0,1,4
37,3.6707318,25.41,0.575,2541.0,1,3
38,3.6666667,24.485,0.54,2448.5,1,2
39,3.6341465,23.67,0.575,2367.0,1,1
40,3.6321838,22.805,0.605,2280.5,1,0
