t,feature_0,feature_1,feature_2,feature_3,feature_4,event_indicator,time_to_event
0,0.004,0.0,0.996,25.076,2.0,1,17
1,0.006,0.0,0.994,25.076,2.0,1,16
2,0.008,0.0,0.992,25.076,2.0,1,15
3,0.01,0.0,0.99,25.076,2.0,1,14
4,0.012,0.0,0.988,25.076,2.0,1,13
5,0.014,0.0,0.986,25.076,2.0,1,12
6,0.024,0.002,0.974,25.076,1.0,1,11
7,0.036,0.002,0.962,25.076,1.0,1,10
8,0.05,0.002,0.948,25.076,1.0,1,9
9,0.068,0.002,0.93,25.076,1.0,1,8
10,0.098,0.002,0.9,25.076,1.0,1,7
11,0.144,0.002,0.854,25.076,1.0,1,6
12,0.206,0.004,0.79,25.076,1.0,1,5
13,0.28,0.006,0.714,25.076,1.0,1,4
14,0.346,0.008,0.646,25.076,1.0,1,3
15,0.436,0.012,0.552,25.076,1.0,1,2
16,0.536,0.014,0.45,25.076,1.0,1,1
17,0.632,0.022,0.346,25.076,1.0,1,0
