t,feature_0,feature_1,feature_2,feature_3,event_indicator,time_to_event
0,3.5697675,100.0,0.0,10000.0,1,44
1,3.5795455,97.5,0.0,9750.0,1,43
2,3.5869565,95.0,0.0,9500.0,1,42
3,3.5934067,92.5,0.0,9250.0,1,41
4,3.6067417,90.0,0.0,9000.0,1,40
5,3.6236558,87.5,0.0,8750.0,1,39
6,3.6333334,85.0,0.0,8500.0,1,38
7,3.588889,82.5,0.0,8250.0,1,37
8,3.6206896,80.0,0.0,8000.0,1,36
9,3.586207,77.5,0.0,7750.0,1,35
10,3.597701,75.0,0.0,7500.0,1,34
11,3.6144578,72.5,0.0,7250.0,1,33
12,3.5952382,70.015,0.03,7001.5,1,32
13,3.6470587,67.6,0.025,6760.0,1,31
14,3.6117647,65.185,0.025,6518.5,1,30
15,3.6,62.73,0.015,6273.0,1,29
16,3.5930233,60.315,0.025,6031.5,1,28
17,3.6588235,57.94,0.05,5794.0,1,27
18,3.6022727,55.595,0.06,5559.5,1,26
19,3.5955057,53.23,0.045,5323.0,1,25
20,3.6067417,50.97,0.11,5097.0,1,24
21,3.6043956,48.76,0.12,4876.0,1,23
22,3.6511629,46.69,0.165,4669.0,1,22
23,3.6363637,44.56,0.15,4456.0,1,21
24,3.612903,42.555,0.175,4255.5,1,20
25,3.6373627,40.64,0.205,4064.0,1,19
26,3.6444445,38.76,0.235,3876.0,1,18
27,3.5913978,37.07,0.29,3707.0,1,17
28,3.5632184,35.415,0.295,3541.5,1,16
29,3.6117647,33.65,0.26,3365.0,1,15
30,3.626506,31.965,0.35,3196.5,1,14
31,3.6235294,30.455,0.33,3045.5,1,13
32,3.6024096,29.055,0.38,2905.5,1,12
33,3.6385543,27.795,0.435,2779.5,1,11
34,3.627907,26.505,0.45,2650.5,1,10
35,3.6067417,25.405,0.495,2540.5,1,9
36,3.6511629,24.305,0.48,2430.5,1,8
37,3.6363637,23.215,0.51,2321.5,1,7
38,3.6704545,22.235,0.54,2223.5,1,6
39,3.6436782,21.17,0.545,2117.0,1,5
40,3.6162791,20.3,0.58,2030.0,1,4
41,3.6136363,19.49,0.585,1949.0,1,3
42,3.6162791,18.58,0.57,1858.0,1,2
43,3.6043956,17.68,0.57,1768.0,1,1
44,3.590909,16.89,0.615,1689.0,1,0
