t,feature_0,feature_1,feature_2,feature_3,event_indicator,time_to_event
0,3.5747128,100.0,0.0,10000.0,1,42
1,3.5783134,97.5,0.0,9750.0,1,41
2,3.5697675,95.0,0.0,9500.0,1,40
3,3.6046512,92.5,0.0,9250.0,1,39
4,3.6024096,90.0,0.0,9000.0,1,38
5,3.6046512,87.5,0.0,8750.0,1,37
6,3.6162791,85.0,0.0,8500.0,1,36
7,3.6091955,82.5,0.0,8250.0,1,35
8,3.6,80.0,0.0,8000.0,1,34
9,3.6444445,77.5,0.0,7750.0,1,33
10,3.6404495,75.005,0.025,7500.5,1,32
11,3.6593406,72.59,0.025,7259.0,1,31
12,3.6344087,70.155,0.02,7015.5,1,30
13,3.6304348,67.74,0.025,6774.0,1,29
14,3.6046512,65.325,0.025,6532.5,1,28
15,3.6179776,62.89,0.02,6289.0,1,27
16,3.6352942,60.435,0.015,6043.5,1,26
17,3.6511629,57.98,0.015,5798.0,1,25
18,3.6222222,55.505,0.01,5550.5,1,24
19,3.6206896,53.12,0.085,5312.0,1,23
20,3.6551723,50.855,0.085,5085.5,1,22
21,3.6483517,48.7,0.11,4870.0,1,21
22,3.6263735,46.675,0.15,4667.5,1,20
23,3.6067417,44.38,0.09,4438.0,1,19
24,3.586207,42.19,0.13,4219.0,1,18
25,3.607143,39.915,0.12,3991.5,1,17
26,3.5930233,37.775,0.145,3777.5,1,16
27,3.6022727,35.865,0.24,3586.5,1,15
28,3.6179776,33.98,0.225,3398.0,1,14
29,3.5894737,32.12,0.225,3212.0,1,13
30,3.6041667,30.23,0.24,3023.0,1,12
31,3.6404495,28.395,0.25,2839.5,1,11
32,3.6263735,26.49,0.255,2649.0,1,10
33,3.6304348,24.715,0.275,2471.5,1,9
34,3.6195652,22.97,0.315,2297.0,1,8
35,3.6292136,21.24,0.32,2124.0,1,7
36,3.5842698,19.76,0.405,1976.0,1,6
37,3.597701,18.36,0.46,1836.0,1,5
38,3.6046512,17.055,0.465,1705.5,1,4
39,3.621951,15.935,0.53,1593.5,1,3
40,3.6162791,14.885,0.53,1488.5,1,2
41,3.5813954,13.85,0.56,1385.0,1,1
42,3.6352942,13.115,0.645,1311.5,1,0
