t,feature_0,feature_1,feature_2,feature_3,feature_4,event_indicator,time_to_event
0,0.004,0.0,0.996,25.308,2.0,1,15
1,0.006,0.0,0.994,25.308,2.0,1,14
2,0.01,0.0,0.99,25.308,2.0,1,13
3,0.014,0.0,0.986,25.308,1.0,1,12
4,0.022,0.0,0.978,25.308,1.0,1,11
5,0.032,0.0,0.968,25.308,1.0,1,10
6,0.052,0.0,0.948,25.308,1.0,1,9
7,0.06,0.0,0.94,25.308,1.0,1,8
8,0.076,0.0,0.924,25.308,1.0,1,7
9,0.112,0.0,0.888,25.308,1.0,1,6
10,0.16,0.0,0.84,25.308,1.0,1,5
11,0.226,0.0,0.774,25.308,1.0,1,4
12,0.316,0.0,0.684,25.308,1.0,1,3
13,0.406,0.004,0.59,25.308,1.0,1,2
14,0.522,0.004,0.474,25.308,1.0,1,1
15,0.612,0.008,0.38,25.308,1.0,1,0
