t,feature_0,feature_1,feature_2,feature_3,event_indicator,time_to_event
0,3.6136363,100.0,0.0,10000.0,1,41
1,3.639535,97.5,0.0,9750.0,1,40
2,3.6321838,95.0,0.0,9500.0,1,39
3,3.6206896,92.5,0.0,9250.0,1,38
4,3.609756,90.0,0.0,9000.0,1,37
5,3.6516855,87.5,0.0,8750.0,1,36
6,3.6746988,85.0,0.0,8500.0,1,35
7,3.6190476,82.5,0.0,8250.0,1,34
8,3.609756,80.0,0.0,8000.0,1,33
9,3.6352942,77.5,0.0,7750.0,1,32
10,3.6091955,75.0,0.0,7500.0,1,31
11,3.5813954,72.5,0.0,7250.0,1,30
12,3.5833333,70.015,0.015,7001.5,1,29
13,3.6,67.58,0.02,6758.0,1,28
14,3.586207,65.145,0.02,6514.5,1,27
15,3.607143,62.76,0.045,6276.0,1,26
16,3.6363637,60.46,0.09,6046.0,1,25
17,3.6363637,58.28,0.105,5828.0,1,24
18,3.6046512,55.985,0.07,5598.5,1,23
19,3.6363637,53.64,0.07,5364.0,1,22
20,3.6363637,51.535,0.165,5153.5,1,21
21,3.642857,49.6,0.18,4960.0,1,20
22,3.6046512,47.655,0.185,4765.5,1,19
23,3.6341465,45.675,0.175,4567.5,1,18
24,3.6363637,43.69,0.19,4369.0,1,17
25,3.6111112,41.675,0.185,4167.5,1,16
26,3.5955057,39.65,0.18,3965.0,1,15
27,3.6190476,37.795,0.24,3779.5,1,14
28,3.6022727,35.985,0.25,3598.5,1,13
29,3.5955057,34.07,0.22,3407.0,1,12
30,3.6091955,32.2,0.305,3220.0,1,11
31,3.6046512,30.46,0.3,3046.0,1,10
32,3.6206896,28.695,0.31,2869.5,1,9
33,3.6136363,27.17,0.355,2717.0,1,8
34,3.6321838,25.575,0.41,2557.5,1,7
35,3.5949366,24.3,0.46,2430.0,1,6
36,3.5882354,23.09,0.485,2309.0,1,5
37,3.5930233,22.015,0.52,2201.5,1,4
38,3.6091955,20.985,0.53,2098.5,1,3
39,3.6043956,20.03,0.56,2003.0,1,2
40,3.625,19.165,0.58,1916.5,1,1
41,3.625,18.16,0.6,1816.0,1,0
