t,feature_0,feature_1,feature_2,feature_3,feature_4,event_indicator,time_to_event
0,0.004,0.0,0.996,25.412,2.0,1,14
1,0.006,0.0,0.994,25.412,2.0,1,13
2,0.012,0.0,0.988,25.412,1.0,1,12
3,0.018,0.0,0.982,25.412,1.0,1,11
4,0.026,0.0,0.974,25.412,1.0,1,10
5,0.042,0.0,0.958,25.412,1.0,1,9
6,0.064,0.002,0.934,25.412,1.0,1,8
7,0.09,0.004,0.906,25.412,1.0,1,7
8,0.136,0.004,0.86,25.412,1.0,1,6
9,0.188,0.004,0.808,25.412,1.0,1,5
10,0.258,0.004,0.738,25.412,1.0,1,4
11,0.334,0.006,0.66,25.412,1.0,1,3
12,0.458,0.006,0.536,25.412,1.0,1,2
13,0.542,0.01,0.448,25.412,1.0,1,1
14,0.626,0.018,0.356,25.412,1.0,1,0
