t,feature_0,feature_1,feature_2,feature_3,feature_4,event_indicator,time_to_event
0,0.004,0.0,0.996,25.228,2.0,1,14
1,0.01,0.0,0.99,25.228,2.0,1,13
2,0.018,0.0,0.982,25.228,1.0,1,12
3,0.024,0.0,0.976,25.228,1.0,1,11
4,0.032,0.0,0.968,25.228,1.0,1,10
5,0.042,0.0,0.958,25.228,1.0,1,9
6,0.056,0.0,0.944,25.228,1.0,1,8
7,0.084,0.0,0.916,25.228,1.0,1,7
8,0.122,0.002,0.876,25.228,1.0,1,6
9,0.17,0.002,0.828,25.228,1.0,1,5
10,0.25,0.004,0.746,25.228,1.0,1,4
11,0.36,0.01,0.63,25.228,1.0,1,3
12,0.456,0.012,0.532,25.228,1.0,1,2
13,0.56,0.014,0.426,25.228,1.0,1,1
14,0.662,0.022,0.316,25.228,1.0,1,0
