t,feature_0,feature_1,feature_2,feature_3,event_indicator,time_to_event
0,3.5813954,100.0,0.0,10000.0,1,43
1,3.5930233,97.5,0.0,9750.0,1,42
2,3.6043956,95.0,0.0,9500.0,1,41
3,3.590909,92.5,0.0,9250.0,1,40
4,3.5930233,90.0,0.0,9000.0,1,39
5,3.6162791,87.5,0.0,8750.0,1,38
6,3.5952382,85.0,0.0,8500.0,1,37
7,3.5764706,82.5,0.0,8250.0,1,36
8,3.6263735,80.0,0.0,8000.0,1,35
9,3.6046512,77.5,0.0,7750.0,1,34
10,3.6046512,75.025,0.03,7502.5,1,33
11,3.627907,72.63,0.03,7263.0,1,32
12,3.6162791,70.195,0.02,7019.5,1,31
13,3.6091955,67.76,0.02,6776.0,1,30
14,3.6144578,65.35,0.04,6535.0,1,29
15,3.5952382,62.99,0.05,6299.0,1,28
16,3.6067417,60.58,0.045,6058.0,1,27
17,3.6179776,58.34,0.085,5834.0,1,26
18,3.639535,56.07,0.1,5607.0,1,25
19,3.6363637,53.86,0.095,5386.0,1,24
20,3.6091955,51.645,0.11,5164.5,1,23
21,3.6179776,49.6,0.185,4960.0,1,22
22,3.6352942,47.69,0.185,4769.0,1,21
23,3.6309524,45.79,0.215,4579.0,1,20
24,3.6022727,43.91,0.21,4391.0,1,19
25,3.5930233,41.995,0.255,4199.5,1,18
26,3.5853658,40.225,0.275,4022.5,1,17
27,3.6162791,38.56,0.33,3856.0,1,16
28,3.6190476,37.045,0.325,3704.5,1,15
29,3.6222222,35.45,0.32,3545.0,1,14
30,3.639535,33.735,0.28,3373.5,1,13
31,3.6551723,32.075,0.31,3207.5,1,12
32,3.6352942,30.56,0.355,3056.0,1,11
33,3.6235294,29.16,0.46,2916.0,1,10
34,3.6588235,27.96,0.46,2796.0,1,9
35,3.6547618,26.565,0.4,2656.5,1,8
36,3.6516855,25.07,0.39,2507.0,1,7
37,3.6511629,23.825,0.455,2382.5,1,6
38,3.6511629,22.59,0.455,2259.0,1,5
39,3.6136363,21.365,0.475,2136.5,1,4
40,3.6067417,20.165,0.49,2016.5,1,3
41,3.6179776,19.175,0.565,1917.5,1,2
42,3.6547618,18.29,0.57,1829.0,1,1
43,3.6321838,17.565,0.685,1756.5,1,0
