t,feature_0,feature_1,feature_2,feature_3,event_indicator,time_to_event
0,3.5764706,100.0,0.0,10000.0,1,37
1,3.612903,97.5,0.0,9750.0,1,36
2,3.6292136,95.0,0.0,9500.0,1,35
3,3.6206896,92.5,0.0,9250.0,1,34
4,3.6,90.0,0.0,9000.0,1,33
5,3.627907,87.5,0.0,8750.0,1,32
6,3.6309524,85.0,0.0,8500.0,1,31
7,3.6117647,82.5,0.0,8250.0,1,30
8,3.6385543,80.0,0.0,8000.0,1,29
9,3.642857,77.5,0.0,7750.0,1,28
10,3.6321838,75.0,0.0,7500.0,1,27
11,3.6373627,72.55,0.04,7255.0,1,26
12,3.6292136,70.155,0.03,7015.5,1,25
13,3.6547618,67.8,0.04,6780.0,1,24
14,3.6704545,65.425,0.035,6542.5,1,23
15,3.6588235,63.01,0.025,6301.0,1,22
16,3.6666667,60.535,0.01,6053.5,1,21
17,3.682353,58.06,0.01,5806.0,1,20
18,3.6704545,55.605,0.015,5560.5,1,19
19,3.658228,53.18,0.035,5318.0,1,18
20,3.6309524,50.805,0.045,5080.5,1,17
21,3.6477273,48.5,0.12,4850.0,1,16
22,3.6363637,46.295,0.105,4629.5,1,15
23,3.6235294,44.26,0.15,4426.0,1,14
24,3.6235294,42.195,0.155,4219.5,1,13
25,3.627907,40.26,0.27,4026.0,1,12
26,3.6022727,38.525,0.265,3852.5,1,11
27,3.639535,36.95,0.345,3695.0,1,10
28,3.6511629,35.445,0.35,3544.5,1,9
29,3.6666667,34.08,0.405,3408.0,1,8
30,3.6463416,32.775,0.395,3277.5,1,7
31,3.659091,31.46,0.405,3146.0,1,6
32,3.6363637,30.06,0.405,3006.0,1,5
33,3.6321838,28.695,0.42,2869.5,1,4
34,3.627907,27.47,0.455,2747.0,1,3
35,3.627907,26.25,0.485,2625.0,1,2
36,3.6292136,25.015,0.495,2501.5,1,1
37,3.6483517,24.045,0.6,2404.5,1,0
