t,feature_0,feature_1,feature_2,feature_3,feature_4,event_indicator,time_to_event
0,0.004,0.0,0.996,24.756,2.0,1,16
1,0.006,0.0,0.994,24.756,2.0,1,15
2,0.006,0.0,0.994,24.756,2.0,1,14
3,0.01,0.0,0.99,24.756,2.0,1,13
4,0.012,0.0,0.988,24.756,2.0,1,12
5,0.018,0.0,0.982,24.756,2.0,1,11
6,0.032,0.0,0.968,24.756,2.0,1,10
7,0.038,0.0,0.962,24.756,2.0,1,9
8,0.068,0.0,0.932,24.756,2.0,1,8
9,0.088,0.0,0.912,24.756,2.0,1,7
10,0.118,0.002,0.88,24.756,1.0,1,6
11,0.16,0.002,0.838,24.756,1.0,1,5
12,0.226,0.004,0.77,24.756,1.0,1,4
13,0.322,0.006,0.672,24.756,1.0,1,3
14,0.406,0.01,0.584,24.756,1.0,1,2
15,0.508,0.012,0.48,24.756,1.0,1,1
16,0.6,0.022,0.378,24.756,1.0,1,0
