t,feature_0,feature_1,feature_2,feature_3,event_indicator,time_to_event
0,3.5697675,100.0,0.0,10000.0,1,41
1,3.597561,97.5,0.0,9750.0,1,40
2,3.6162791,95.0,0.0,9500.0,1,39
3,3.607143,92.5,0.0,9250.0,1,38
4,3.5952382,90.0,0.0,9000.0,1,37
5,3.6162791,87.5,0.0,8750.0,1,36
6,3.597701,85.0,0.0,8500.0,1,35
7,3.6086957,82.5,0.0,8250.0,1,34
8,3.606383,80.0,0.0,8000.0,1,33
9,3.6043956,77.5,0.0,7750.0,1,32
10,3.6352942,75.0,0.0,7500.0,1,31
11,3.6363637,72.5,0.0,7250.0,1,30
12,3.639535,70.0,0.0,7000.0,1,29
13,3.6321838,67.5,0.0,6750.0,1,28
14,3.6067417,65.0,0.0,6500.0,1,27
15,3.6352942,62.55,0.04,6255.0,1,26
16,3.5833333,60.325,0.085,6032.5,1,25
17,3.597826,58.02,0.06,5802.0,1,24
18,3.6195652,55.74,0.075,5574.0,1,23
19,3.625,53.42,0.06,5342.0,1,22
20,3.6086957,51.1,0.06,5110.0,1,21
21,3.6292136,48.78,0.085,4878.0,1,20
22,3.5930233,46.51,0.085,4651.0,1,19
23,3.6363637,44.47,0.17,4447.0,1,18
24,3.6206896,42.59,0.23,4259.0,1,17
25,3.6373627,40.82,0.255,4082.0,1,16
26,3.6292136,39.045,0.265,3904.5,1,15
27,3.6091955,37.275,0.275,3727.5,1,14
28,3.6117647,35.455,0.255,3545.5,1,13
29,3.5882354,33.53,0.23,3353.0,1,12
30,3.6179776,31.705,0.275,3170.5,1,11
31,3.6046512,30.025,0.32,3002.5,1,10
32,3.6111112,28.48,0.365,2848.0,1,9
33,3.6111112,26.985,0.375,2698.5,1,8
34,3.626506,25.64,0.43,2564.0,1,7
35,3.6470587,24.34,0.44,2434.0,1,6
36,3.642857,23.14,0.475,2314.0,1,5
37,3.6436782,22.22,0.54,2222.0,1,4
38,3.6463416,21.265,0.53,2126.5,1,3
39,3.6436782,20.365,0.56,2036.5,1,2
40,3.6516855,19.42,0.565,1942.0,1,1
41,3.6506023,18.62,0.615,1862.0,1,0
