t,feature_0,feature_1,feature_2,feature_3,feature_4,event_indicator,time_to_event
0,0.004,0.0,0.996,25.188,2.0,1,16
1,0.008,0.0,0.992,25.188,2.0,1,15
2,0.012,0.0,0.988,25.188,2.0,1,14
3,0.014,0.0,0.986,25.188,2.0,1,13
4,0.018,0.004,0.978,25.188,3.0,1,12
5,0.026,0.004,0.97,25.188,2.0,1,11
6,0.032,0.004,0.964,25.188,2.0,1,10
7,0.05,0.004,0.946,25.188,1.0,1,9
8,0.07,0.004,0.926,25.188,1.0,1,8
9,0.106,0.004,0.89,25.188,1.0,1,7
10,0.154,0.004,0.842,25.188,1.0,1,6
11,0.212,0.008,0.78,25.188,1.0,1,5
12,0.296,0.012,0.692,25.188,1.0,1,4
13,0.386,0.018,0.596,25.188,1.0,1,3
14,0.47,0.022,0.508,25.188,1.0,1,2
15,0.58,0.026,0.394,25.188,1.0,1,1
16,0.694,0.036,0.27,25.188,1.0,1,0
