t,feature_0,feature_1,feature_2,feature_3,feature_4,event_indicator,time_to_event
0,0.004,0.0,0.996,25.252,2.0,1,14
1,0.008,0.0,0.992,25.252,2.0,1,13
2,0.008,0.0,0.992,25.252,2.0,1,12
3,0.016,0.0,0.984,25.252,2.0,1,11
4,0.024,0.0,0.976,25.252,2.0,1,10
5,0.042,0.0,0.958,25.252,1.0,1,9
6,0.062,0.0,0.938,25.252,1.0,1,8
7,0.086,0.002,0.912,25.252,1.0,1,7
8,0.126,0.004,0.87,25.252,1.0,1,6
9,0.18,0.006,0.814,25.252,1.0,1,5
10,0.274,0.006,0.72,25.252,1.0,1,4
11,0.336,0.008,0.656,25.252,1.0,1,3
12,0.438,0.008,0.554,25.252,1.0,1,2
13,0.56,0.008,0.432,25.252,1.0,1,1
14,0.67,0.014,0.316,25.252,1.0,1,0
