t,feature_0,feature_1,feature_2,feature_3,feature_4,event_indicator,time_to_event
0,0.004,0.0,0.996,25.196,2.0,1,16
1,0.006,0.0,0.994,25.196,2.0,1,15
2,0.008,0.0,0.992,25.196,2.0,1,14
3,0.008,0.0,0.992,25.196,2.0,1,13
4,0.014,0.0,0.986,25.196,2.0,1,12
5,0.02,0.0,0.98,25.196,2.0,1,11
6,0.034,0.0,0.966,25.196,1.0,1,10
7,0.046,0.0,0.954,25.196,1.0,1,9
8,0.064,0.0,0.936,25.196,1.0,1,8
9,0.096,0.0,0.904,25.196,1.0,1,7
10,0.12,0.0,0.88,25.196,1.0,1,6
11,0.166,0.0,0.834,25.196,1.0,1,5
12,0.238,0.0,0.762,25.196,1.0,1,4
13,0.31,0.002,0.688,25.196,1.0,1,3
14,0.414,0.002,0.584,25.196,1.0,1,2
15,0.53,0.006,0.464,25.196,1.0,1,1
16,0.62,0.016,0.364,25.196,1.0,1,0
