t,feature_0,feature_1,feature_2,feature_3,event_indicator,time_to_event
0,3.5679011,100.0,0.0,10000.0,1,40
1,3.5542169,97.5,0.0,9750.0,1,39
2,3.5764706,95.0,0.0,9500.0,1,38
3,3.5679011,92.5,0.0,9250.0,1,37
4,3.5609756,90.0,0.0,9000.0,1,36
5,3.6263735,87.5,0.0,8750.0,1,35
6,3.5647058,85.0,0.0,8500.0,1,34
7,3.5824175,82.5,0.0,8250.0,1,33
8,3.6136363,80.0,0.0,8000.0,1,32
9,3.639535,77.5,0.0,7750.0,1,31
10,3.597701,75.0,0.0,7500.0,1,30
11,3.5681818,72.5,0.0,7250.0,1,29
12,3.5697675,70.0,0.0,7000.0,1,28
13,3.586207,67.5,0.0,6750.0,1,27
14,3.5813954,65.03,0.05,6503.0,1,26
15,3.597826,62.66,0.04,6266.0,1,25
16,3.6153846,60.285,0.05,6028.5,1,24
17,3.6046512,58.0,0.08,5800.0,1,23
18,3.5955057,55.665,0.06,5566.5,1,22
19,3.5714285,53.45,0.105,5345.0,1,21
20,3.6292136,51.22,0.11,5122.0,1,20
21,3.625,49.18,0.17,4918.0,1,19
22,3.659091,47.14,0.18,4714.0,1,18
23,3.686747,45.3,0.245,4530.0,1,17
24,3.6585367,43.625,0.265,4362.5,1,16
25,3.6746988,41.99,0.335,4199.0,1,15
26,3.6627908,40.44,0.33,4044.0,1,14
27,3.6588235,38.86,0.32,3886.0,1,13
28,3.6190476,37.19,0.305,3719.0,1,12
29,3.6024096,35.575,0.33,3557.5,1,11
30,3.6190476,33.905,0.33,3390.5,1,10
31,3.6235294,32.24,0.325,3224.0,1,9
32,3.5697675,30.73,0.355,3073.0,1,8
33,3.5952382,29.345,0.435,2934.5,1,7
34,3.609756,28.05,0.45,2805.0,1,6
35,3.6144578,26.82,0.47,2682.0,1,5
36,3.6049383,25.775,0.51,2577.5,1,4
37,3.6136363,24.7,0.515,2470.0,1,3
38,3.609756,23.71,0.535,2371.0,1,2
39,3.6363637,22.655,0.575,2265.5,1,1
40,3.6511629,21.775,0.605,2177.5,1,0
