t,feature_0,feature_1,feature_2,feature_3,feature_4,event_indicator,time_to_event
0,0.004,0.0,0.996,24.94,2.0,1,14
1,0.006,0.0,0.994,24.94,2.0,1,13
2,0.008,0.0,0.992,24.94,2.0,1,12
3,0.014,0.0,0.986,24.94,2.0,1,11
4,0.022,0.0,0.978,24.94,1.0,1,10
5,0.036,0.0,0.964,24.94,1.0,1,9
6,0.048,0.0,0.952,24.94,1.0,1,8
7,0.086,0.0,0.914,24.94,1.0,1,7
8,0.118,0.002,0.88,24.94,1.0,1,6
9,0.17,0.006,0.824,24.94,1.0,1,5
10,0.266,0.01,0.724,24.94,1.0,1,4
11,0.348,0.01,0.642,24.94,1.0,1,3
12,0.442,0.012,0.546,24.94,1.0,1,2
13,0.524,0.02,0.456,24.94,1.0,1,1
14,0.63,0.028,0.342,24.94,1.0,1,0
