t,feature_0,feature_1,feature_2,feature_3,event_indicator,time_to_event
0,3.607143,100.0,0.0,10000.0,1,39
1,3.5764706,97.5,0.0,9750.0,1,38
2,3.6206896,95.0,0.0,9500.0,1,37
3,3.6179776,92.5,0.0,9250.0,1,36
4,3.6022727,90.0,0.0,9000.0,1,35
5,3.625,87.5,0.0,8750.0,1,34
6,3.6404495,85.0,0.0,8500.0,1,33
7,3.625,82.5,0.0,8250.0,1,32
8,3.639535,80.0,0.0,8000.0,1,31
9,3.639535,77.52,0.02,7752.0,1,30
10,3.6046512,75.045,0.01,7504.5,1,29
11,3.607143,72.59,0.015,7259.0,1,28
12,3.626506,70.135,0.015,7013.5,1,27
13,3.6860466,67.68,0.015,6768.0,1,26
14,3.6790123,65.27,0.035,6527.0,1,25
15,3.6666667,62.94,0.05,6294.0,1,24
16,3.625,60.59,0.045,6059.0,1,23
17,3.6206896,58.26,0.055,5826.0,1,22
18,3.6292136,55.935,0.055,5593.5,1,21
19,3.6263735,53.71,0.13,5371.0,1,20
20,3.6444445,51.655,0.16,5165.5,1,19
21,3.6321838,49.72,0.19,4972.0,1,18
22,3.6385543,47.74,0.175,4774.0,1,17
23,3.625,45.87,0.235,4587.0,1,16
24,3.6046512,44.145,0.25,4414.5,1,15
25,3.6144578,42.36,0.235,4236.0,1,14
26,3.6206896,40.5,0.25,4050.0,1,13
27,3.627907,38.71,0.245,3871.0,1,12
28,3.639535,37.075,0.315,3707.5,1,11
29,3.6206896,35.58,0.38,3558.0,1,10
30,3.6206896,34.21,0.385,3421.0,1,9
31,3.6022727,32.725,0.36,3272.5,1,8
32,3.6463416,31.345,0.395,3134.5,1,7
33,3.6296296,30.015,0.42,3001.5,1,6
34,3.658228,28.765,0.45,2876.5,1,5
35,3.6626506,27.54,0.435,2754.0,1,4
36,3.6470587,26.27,0.43,2627.0,1,3
37,3.6321838,25.095,0.495,2509.5,1,2
38,3.6705883,24.075,0.575,2407.5,1,1
39,3.6666667,23.315,0.6,2331.5,1,0
