t,feature_0,feature_1,feature_2,feature_3,feature_4,event_indicator,time_to_event
0,0.004,0.0,0.996,24.684,2.0,1,15
1,0.004,0.0,0.996,24.684,2.0,1,14
2,0.006,0.0,0.994,24.684,1.0,1,13
3,0.012,0.0,0.988,24.684,1.0,1,12
4,0.022,0.0,0.978,24.684,1.0,1,11
5,0.03,0.0,0.97,24.684,1.0,1,10
6,0.048,0.0,0.952,24.684,1.0,1,9
7,0.068,0.0,0.932,24.684,1.0,1,8
8,0.096,0.002,0.902,24.684,1.0,1,7
9,0.134,0.002,0.864,24.684,1.0,1,6
10,0.168,0.006,0.826,24.684,1.0,1,5
11,0.236,0.006,0.758,24.684,1.0,1,4
12,0.316,0.008,0.676,24.684,1.0,1,3
13,0.41,0.01,0.58,24.684,1.0,1,2
14,0.532,0.012,0.456,24.684,1.0,1,1
15,0.632,0.016,0.352,24.684,1.0,1,0
